test_pdf,metric,wt=0.5,wt=1.0,wt=1.5,wt=2.0,wt=2.5,wt=3.0
base_pdf,consistency_probability,1,1,1,1,1,1
base_pdf,cons_prob_3,1,1,1,1,1,1
deltafunc_pdf,consistency_probability,1,1,1,1,1,1
deltafunc_pdf,cons_prob_3,1,1,1,1,1,1
deltafunc_slightly_offset_pdf,consistency_probability,0.0498602,0.3268,0.513292,0.623928,0.694887,0.743774
deltafunc_slightly_offset_pdf,cons_prob_3,0.0498602,0.3268,0.513292,0.623928,0.694887,0.743774
deltafunc_offset_pdf,consistency_probability,1.23065e-85,1.06294e-22,6.26793e-11,9.44304e-07,8.76994e-05,0.0010808
deltafunc_offset_pdf,cons_prob_3,1.23065e-85,1.06294e-22,6.26793e-11,9.44304e-07,8.76994e-05,0.0010808
wide_pdf,consistency_probability,1,1,1,1,1,1
wide_pdf,cons_prob_3,1,1,1,1,1,1
wide_slightly_offset_pdf,consistency_probability,0.371093,0.654721,0.765594,0.823063,0.858028,0.881497
wide_slightly_offset_pdf,cons_prob_3,0.371093,0.654721,0.765594,0.823063,0.858028,0.881497
wide_pdf_offset,consistency_probability,0.00729036,0.179712,0.371093,0.502335,0.591505,0.654721
wide_pdf_offset,cons_prob_3,0.00729036,0.179712,0.371093,0.502335,0.591505,0.654721
wide_pdf_veryoffset,consistency_probability,3.7441e-19,7.74422e-06,0.00286911,0.0253473,0.0736383,0.136037
wide_pdf_veryoffset,cons_prob_3,3.7441e-19,7.74422e-06,0.00286911,0.0253473,0.0736383,0.136037
verywide_pdf,consistency_probability,1,1,1,1,1,1
verywide_pdf,cons_prob_3,1,1,1,1,1,1
verywide_slightly_offset_pdf,consistency_probability,0.842257,0.920738,0.94711,0.96032,0.968251,0.973541
verywide_slightly_offset_pdf,cons_prob_3,0.842257,0.920738,0.94711,0.96032,0.968251,0.973541
verywide_pdf_offset,consistency_probability,0.0465827,0.319718,0.507101,0.618823,0.690619,0.740132
verywide_pdf_offset,cons_prob_3,0.0465827,0.319718,0.507101,0.618823,0.690619,0.740132
asymmetric_pdf_deltafunc,consistency_probability,1,1,1,1,1,1
asymmetric_pdf_deltafunc,cons_prob_3,1,1,1,1,1,1
asymmetric_pdf_deltafunc_offset,consistency_probability,4.00935e-88,2.51243e-23,3.27638e-11,6.5185e-07,6.88722e-05,0.000910578
asymmetric_pdf_deltafunc_offset,cons_prob_3,4.00935e-88,2.51243e-23,3.27638e-11,6.5185e-07,6.88722e-05,0.000910578
asymmetric_pdf_wide,consistency_probability,1,1,1,1,1,1
asymmetric_pdf_wide,cons_prob_3,1,1,1,1,1,1
asymmetric_pdf_wide_offset,consistency_probability,1.34146e-28,2.90609e-08,0.000217304,0.00554567,0.0265003,0.0644577
asymmetric_pdf_wide_offset,cons_prob_3,1.37272e-28,2.92326e-08,0.000217892,0.00555445,0.0265283,0.0645073
asymmetric_pdf_wide_offset_neg,consistency_probability,1.10407e-13,0.000204084,0.0132887,0.0633178,0.137395,0.215728
asymmetric_pdf_wide_offset_neg,cons_prob_3,1.09893e-13,0.000203835,0.013281,0.0632958,0.137362,0.215689
asymmetric_pdf_very_skewed,consistency_probability,1,1,1,1,1,1
asymmetric_pdf_very_skewed,cons_prob_3,1,1,1,1,1,1
asymmetric_pdf_very_skewed_offset,consistency_probability,0.426015,0.690619,0.790745,0.842257,0.873507,0.894453
asymmetric_pdf_very_skewed_offset,cons_prob_3,0.326774,0.62391,0.743761,0.806334,0.844511,0.870173
asymmetric_pdf_very_skewed_very_offset_pos,consistency_probability,0.00145195,0.111371,0.28852,0.426015,0.52424,0.595636
asymmetric_pdf_very_skewed_very_offset_pos,cons_prob_3,0.0010596,0.101609,0.275096,0.413043,0.51257,0.585272
asymmetric_pdf_very_skewed_very_offset_neg,consistency_probability,3.966e-216,1.79045e-55,1.32515e-25,4.34179e-15,3.48028e-10,1.69727e-07
asymmetric_pdf_very_skewed_very_offset_neg,cons_prob_3,5.05647e-36,3.71712e-10,2.95408e-05,0.00173187,0.0122041,0.0367538
asymmetric_pdf_very_skewed_slightly_offset_neg,consistency_probability,0.0498602,0.3268,0.513292,0.623928,0.694887,0.743774
asymmetric_pdf_very_skewed_slightly_offset_neg,cons_prob_3,0.770587,0.884076,0.922566,0.941884,0.953493,0.961237
asymmetric_pdf_very_skewed_moderately_offset_neg,consistency_probability,0.00170187,0.116664,0.295583,0.432768,0.530285,0.600991
asymmetric_pdf_very_skewed_moderately_offset_neg,cons_prob_3,0.632082,0.810796,0.873197,0.904721,0.923711,0.936397
